ID,Term,NewDefinition,Scores,AccessTime
868,endorse,"支持
認可
背書
簽署（支票等）
推薦","0.5904
0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
869,heterodox,"異端的
非正統的","0.5904
0.5904","2025-03-08
2025-03-08"
870,deduce,"推斷
推論
演繹","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
871,deduct,"扣除
減去","0.5904
0.5904","2025-03-08
2025-03-08"
872,seductive,"誘惑的
迷人的
有魅力的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
873,equanimity,"平靜
鎮定
沉著","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
874,defamatory,"誹謗的
詆毀的","0.54432
0.54432","2025-03-08
2025-03-08"
875,facility,"設施
設備
場所
能力
才能
熟練
容易","0.54432
0.54432
0.54432
0.54432
0.54432
0.54432
0.54432","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
876,malfeasance,"不法行為
瀆職
失職","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
877,counterfeit,"偽造的
仿冒的
假冒的
贗品
仿製品
偽造
仿冒","0.5904
0.5904
0.5904
0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
878,surfeit,"過量
過剩
厭膩
使…過量
使…厭膩","0.56992
0.56992
0.56992
0.56992
0.56992","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
879,felicitous,"恰當的
得體的
貼切的
幸福的
愉快的","0.5904
0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
880,odoriferous,"有氣味的
散發氣味的
芬芳的
惡臭的","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
881,fictitious,"虛構的
假想的
編造的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
882,ramification,"分支
分枝
衍生物
後果
影響","0.5904
0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
883,prefigure,"預示
預兆
預想","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
884,infinite,"無限的
無窮的
巨大的
無數的
無限","0.5904
0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
885,inflate,"使充氣
使膨脹
使價格上漲
誇大","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
886,deflect,"使偏斜
使轉向
避開","0.553536
0.553536
0.553536","2025-03-08
2025-03-08
2025-03-08"
887,fugitive,"逃亡者
難民
短暫的
流動的","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
888,refugee,難民,0.5904,2025-03-08
889,hieroglyph,"象形文字
圖畫文字
難以辨認的符號","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
890,demography,"人口統計學
人口學","0.5904
0.5904","2025-03-08
2025-03-08"
891,ingratiate,"討好
奉承","0.5904
0.5904","2025-03-08
2025-03-08"
892,egregious,"極壞的
駭人聽聞的
惡名昭彰的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
893,gregarious,"群居的
好社交的","0.5904
0.5904","2025-03-08
2025-03-08"
894,adherent,"信徒
追隨者
擁護者","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
895,heretical,"異端的
非正統的","0.5904
0.5904","2025-03-08
2025-03-08"
896,hortatory,"勸告的
鼓勵的","0.5904
0.5904","2025-03-08
2025-03-08"
897,hydrate,"使水合
補水
水合物","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
898,ideology,"意識形態
思想體系","0.5904
0.5904","2025-03-10
2025-03-10"
899,imperious,"專橫的
傲慢的
緊急的
迫切的","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
900,juvenile,"青少年的
幼稚的，不成熟的
少年犯","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
901,dilute,"稀釋
減弱，沖淡","0.51232
0.51232","2025-03-10
2025-03-10"
902,levity,輕浮，輕率,0.54432,2025-03-09
903,delineate,"描繪，勾勒
描述，闡明","0.5904
0.5904","2025-03-10
2025-03-10"
904,locus,"地點，場所
（數學）軌跡","0.5904
0.5904","2025-03-10
2025-03-10"
905,circumlocution,迂迴的說法，贅語,0.5904,2025-03-10
906,malign,"惡意的，有害的
誹謗，中傷","0.5904
0.5904","2025-03-10
2025-03-10"
907,emanate,"散發，發出（氣味、光線、熱等）
源於，產生於","0.5904
0.5904","2025-03-10
2025-03-10"
908,manuscript,"手稿，原稿
手寫的","0.5904
0.5904","2025-03-10
2025-03-10"
909,demanding,"要求高的，苛刻的
費力的，耗時的","0.5904
0.5904","2025-03-10
2025-03-10"
910,mediate,"調解，斡旋
居中，作為中間環節","0.5904
0.5904","2025-03-10
2025-03-10"
911,demeanor,舉止，風度，儀態,0.54432,2025-03-09
912,menacing,威脅的，恐嚇的,0.5904,2025-03-10
913,amend,"修改，修訂（法律、文件等）
改善，改進","0.5904
0.5904","2025-03-10
2025-03-10"
914,emend,校訂，修訂（文本，通常是通過去除錯誤）,0.5904,2025-03-10
915,mentor,"導師
指導者
顧問","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
916,perimeter,"周長
周邊
邊界
外圍","0.56992
0.56992
0.56992
0.56992","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
917,eminence,"顯赫
卓越
高位
聲望
傑出人物","0.495936
0.495936
0.495936
0.495936
0.495936","2025-03-10
2025-03-10
2025-03-10
2025-03-10
2025-03-10"
918,demise,"死亡
逝世
終止
倒閉
消亡","0.5904
0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10
2025-03-10"
919,intermittent,"間歇性的
斷斷續續的","0.5904
0.5904","2025-03-10
2025-03-10"
920,surmise,"猜測
推測
臆測","0.56992
0.56992
0.56992","2025-03-10
2025-03-10
2025-03-10"
921,mitigant,"緩解劑
減輕物
緩和因素","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
922,mollify,"安撫
撫慰
使平靜
軟化","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
923,moralistic,"道德說教的
教訓人的
講道德的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
924,moribund,"垂死的
行將滅亡的
瀕臨倒閉的
了無生氣的","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
925,paramount,"最重要的
至高無上的
首要的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
926,surmount,"克服
越過
登上
解決","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
927,immutable,"不可改變的
永恆不變的","0.5904
0.5904","2025-03-10
2025-03-10"
928,innate,"天生的
固有的
與生俱來的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
929,nascent,"初生的
新興的
剛開始發展的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
930,natal,"出生的
與出生有關的","0.5904
0.5904","2025-03-10
2025-03-10"
931,enervate,"使衰弱
使失去活力","0.5904
0.5904","2025-03-10
2025-03-10"
932,annex,"併吞
附加
附屬建築
增補物","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
933,noxious,"有害的
有毒的","0.56992
0.56992","2025-03-10
2025-03-10"
934,annotate,"註解
作註釋","0.5904
0.5904","2025-03-10
2025-03-10"
935,pronounced,"明顯的
顯著的
堅定的
斷然的","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
936,novice,"新手
初學者
新入教者","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
937,malodorous,"惡臭的
發出難聞氣味的","0.5904
0.5904","2025-03-10
2025-03-10"
938,onerous,"繁重的
費力的
艱巨的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
939,ornate,"裝飾華麗的
雕飾繁複的","0.5904
0.5904","2025-03-10
2025-03-10"
940,palpable,"可觸知的
摸得到的
明顯的
易察覺的","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
941,impart,"傳授
告知
給予
賦予","0.56992
0.56992
0.56992
0.56992","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
942,compassionate,"有同情心的
慈悲的","0.5904
0.5904","2025-03-10
2025-03-10"
943,impassive,"無動於衷的
不動聲色的
冷漠的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
944,pathological,"病理學的
疾病的
病態的
不理智的","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
945,impecunious,"貧困的
身無分文的","0.5904
0.5904","2025-03-10
2025-03-10"
946,pecuniary,"金錢的
財政的","0.54432
0.54432","2025-03-09
2025-03-09"
947,pedantic,"賣弄學問的
迂腐的
學究式的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
948,penitential,"懺悔的
悔罪的","0.51232
0.51232","2025-03-10
2025-03-10"
949,impending,"即將發生的
迫近的","0.54432
0.54432","2025-03-09
2025-03-09"
950,pending,"未決的
懸而未決的
待定的
即將發生的","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
951,petulant,"任性的
易怒的
暴躁的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
952,propitious,"吉利的
有利的
適合的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
953,sycophant,"馬屁精
奉承者
諂媚者","0.56992
0.56992
0.56992","2025-03-10
2025-03-10
2025-03-10"
954,pious,"虔誠的
篤信的
假裝虔誠的
虛偽的","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
955,placebo,"安慰劑
無效對照劑","0.67232
0.67232","2025-03-10
2025-03-10"
956,duplicate,"複製
重複
副本
複製品","0.3904
0.3904
0.3904
0.3904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
957,pompous,"浮誇的
自大的
華而不實的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
958,ponder,"沉思
仔細考慮
琢磨","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
959,juxtapose,"並置
並列
將…並列放置","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
960,predisposition,"傾向
易感性","0.5904
0.5904","2025-03-10
2025-03-10"
961,omnipotent,"全能的
萬能的","0.5904
0.5904","2025-03-10
2025-03-10"
962,pressing,"緊迫的
緊急的
重要的","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
963,priority,"優先事項
優先權","0.5904
0.5904","2025-03-10
2025-03-10"
964,propaganda,"宣傳
鼓吹","0.5904
0.5904","2025-03-10
2025-03-10"
965,repulse,"擊退
驅逐
拒絕
使厭惡","0.5904
0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
966,quirky,"古怪的
奇特的","0.5904
0.5904","2025-03-10
2025-03-10"
967,regime,"政權
體制
制度","0.5904
0.5904
0.5904","2025-03-10
2025-03-10
2025-03-10"
968,deride,"嘲笑
嘲弄","0.5904
0.5904","2025-03-10
2025-03-10"
969,ridicule,"嘲笑
奚落
嘲弄","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
970,shrug,聳肩,0.488,2025-03-09
971,disrupt,"擾亂
使中斷
打斷","0.495936
0.495936
0.495936","2025-03-10
2025-03-10
2025-03-10"
972,salubrious,"有益健康的
清爽的","0.488
0.488","2025-03-09
2025-03-09"
973,omniscient,"無所不知的
全知的","0.488
0.488","2025-03-09
2025-03-09"
974,resemble,"像
類似","0.488
0.488","2025-03-09
2025-03-09"
975,assent,"同意
贊成
允許","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
976,observant,"善於觀察的
注意的
嚴格遵守的","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
977,assiduous,"勤勉的
刻苦的
不懈的","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
978,solitary,"單獨的
獨自的
喜歡獨處的
唯一的
隔離的","0.488
0.488
0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09
2025-03-09
2025-03-09"
979,resonate,"共鳴
引起反響
迴盪","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
980,despicable,"可鄙的
卑劣的
不齒的","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
981,perspicuous,"清楚明白的
明晰的
易懂的","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
982,apostasy,"叛教
變節
放棄信仰","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
983,ecstatic,"狂喜的
欣喜若狂的
入迷的","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
984,misconstrue,"誤解
曲解
錯誤地解釋","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
985,contingent,"依情況而定的
偶然的
可能的
偶發事件
分遣隊","0.488
0.488
0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09
2025-03-09
2025-03-09"
986,abstinent,"節制的
禁慾的
戒除的","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
987,extemporize,"即興演講
即興創作
臨時湊合","0.54432
0.54432
0.54432","2025-03-10
2025-03-10
2025-03-10"
988,anatomical,"解剖學的
解剖的","0.488
0.488","2025-03-09
2025-03-09"
989,tortuous,"彎彎曲曲的
蜿蜒的
複雜難懂的
欺詐的","0.488
0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
990,detour,"繞道
彎路","0.488
0.488","2025-03-09
2025-03-09"
991,diatribe,"抨擊
漫罵","0.488
0.488","2025-03-09
2025-03-09"
992,contumacious,"抗拒的
倔強的","0.488
0.488","2025-03-09
2025-03-09"
993,imperturbable,"沉著的
不動聲色的","0.488
0.488","2025-03-09
2025-03-09"
994,prevalent,"流行的
普遍的","0.488
0.488","2025-03-10
2025-03-10"
995,variability,"可變性
變化性","0.488
0.488","2025-03-09
2025-03-09"
996,provenance,"來源
出處","0.488
0.488","2025-03-09
2025-03-09"
997,vernacular,"方言
白話
本地的","0.488
0.488
0.488","2025-03-09
2025-03-09
2025-03-09"
998,incontrovertible,"無可辯駁的
不容置疑的","0.488
0.488","2025-03-09
2025-03-09"
999,divert,"轉移
使轉向
娛樂","0.527936
0.527936
0.527936","2025-03-10
2025-03-10
2025-03-10"
1000,reversible,"可逆的
可翻轉的","0.36
0.36","2025-06-28
2025-06-28"
1001,revert,"恢復
回復
歸還","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1002,vestige,"遺跡
殘餘
痕跡","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1003,deviate,"偏離
越軌","0.36
0.36","2025-06-28
2025-06-28"
1004,impervious,"不透水的
不受影響的","0.16
0.16","2025-06-28
2025-06-28"
1005,vigorous,"精力充沛的
強而有力的
有活力的","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1006,guile,"狡猾
詭計
欺詐","0.16
0.16
0.16","2025-06-28
2025-06-28
2025-06-28"
1007,providential,"湊巧的
及時的
天意的","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1008,vital,"極其重要的
維持生命所必需的
有活力的","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1009,provocative,"煽動性的
挑釁的
引人深思的","0.0
0.0
0.0","2025-06-28
2025-06-28
2025-06-28"
1010,univocal,"意義明確的
單一含義的
無歧義的","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1011,devour,"狼吞虎嚥地吃
吞噬
耗盡","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1012,voracious,"貪婪的
狼吞虎嚥的
求知慾旺盛的","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1013,divulge,"洩露
透露","0.36
0.36","2025-06-28
2025-06-28"
1014,vulgar,"粗俗的
庸俗的
不雅的","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1015,alacrity,"敏捷
樂意
欣然","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1016,anecdote,"軼事
趣聞","0.36
0.36","2025-06-28
2025-06-28"
1017,asseverate,"鄭重聲明
斷言","0.36
0.36","2025-06-28
2025-06-28"
1018,atrophy,"萎縮
退化","0.36
0.36","2025-06-28
2025-06-28"
1019,axiomatic,"不證自明的
公理的","0.2
0.2","2025-06-28
2025-06-28"
1020,backbite,"誹謗
說人壞話","0.36
0.36","2025-06-28
2025-06-28"
1021,baroque,"巴洛克風格的 (指17世紀藝術和建築風格，特點是華麗、誇張和動感)
過於華麗的
裝飾繁複的","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1022,begrudging,"不情願的
吝嗇的
勉強的 (指給予或承認時帶有不滿或嫉妒)","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1023,bravado,"虛張聲勢
裝作勇敢","0.36
0.36","2025-06-28
2025-06-28"
1024,bromidic,"陳腐的
老套的
無聊的","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1025,bypass,"繞過
避開
規避 (動詞)
旁道
支路 (名詞)","0.36
0.36
0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
1026,chic,"時髦的
雅緻的
流行的 (形容詞)
時髦
雅緻 (名詞)","0.36
0.36
0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
1027,chimera,"嵌合體 (神話中獅頭、羊身、蛇尾的怪獸)
幻想
妄想
不可能的希望","0.16
0.16
0.16
0.16","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
1028,churlish,"粗魯的
不禮貌的
脾氣暴躁的","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1029,clear-cut,"明確的
清晰的
一目瞭然的","0.36
0.36
0.36","2025-06-28
2025-06-28
2025-06-28"
1030,commonplace,"司空見慣的
普通的
尋常的 (形容詞)
老生常談
陳詞濫調 (名詞)","0.2
0.2
0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
1031,crabby,"脾氣壞的
批評、挑剔","0.2
0.2","2025-06-28
2025-06-28"
1032,delimit,"劃定界限
確定範圍
限定","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1033,elegy,"輓歌
哀歌 (通常為悼念逝者)","0.0
0.0","2025-06-28
2025-06-28"
1034,enfeeble,"使衰弱
使虛弱","0.2
0.2","2025-06-28
2025-06-28"
1035,entailed,"牽涉到
需要
導致","0.0
0.0
0.0","2025-06-28
2025-06-28
2025-06-28"
1036,fraught,"充滿的
令人擔憂的
緊張的","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1037,histrionic,"過於戲劇化的
矯揉造作的
表演性的","0.0
0.0
0.0","2025-06-28
2025-06-28
2025-06-28"
1038,hodgepodge,"大雜燴
混雜物
一團糟","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1039,imbue,"使充滿
灌輸
感染","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1040,knotty,"多結的
難解決的
複雜的","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1041,meager,"瘦弱的
貧乏的
不足的","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1042,meretricious,"華而不實的
徒有其表的
虛有其表的","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1043,modicum,"少量
一點點","0.2
0.2","2025-06-28
2025-06-28"
1044,momentous,"重大的
重要的
有深遠影響的","0.0
0.0
0.0","2025-06-28
2025-06-28
2025-06-28"
1045,peevish,"脾氣暴躁的
易怒的
愛抱怨的","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1046,physiological,"生理的
生理學的","0.2
0.2","2025-06-28
2025-06-28"
1047,protean,"變化多端的
多才多藝的
變化的","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1048,quandary,"困境
窘境
兩難","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1049,rapprochement,"和解
恢復友好關係
關係改善","0.2
0.2
0.2","2025-06-28
2025-06-28
2025-06-28"
1050,retaliate,"報復
反擊","0.0
0.0","2024-08-03
2024-08-03"
1051,sartorial,"裁縫的
服裝的
有關衣著的","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1052,shading,"陰影處理
色彩過渡
細微差別
掩飾","0.0
0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03
2024-08-03"
1053,skulduggery,"詭計
陰謀
欺騙","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1054,slumber,"睡眠
小睡
睡覺","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1055,staggering,"令人震驚的
巨大的
驚人的","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1056,stoicism,"禁慾主義
堅忍
斯多葛主義","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1057,sumptuous,"豪華的
華麗的
奢侈的","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1058,valorize,"提升價值
使增值
給予肯定
穩定價格","0.0
0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03
2024-08-03"
1059,woo,"追求
求愛
爭取
勸說","0.0
0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03
2024-08-03"
1060,noisome,"惡臭的
有害健康的
令人不快的","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1061,conceal,"隱藏
掩蓋
隱瞞","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1062,obscure,"模糊的
費解的
不清楚的
遮蔽
使模糊","0.0
0.0
0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03
2024-08-03
2024-08-03"
1063,unassuming,"謙遜的
不擺架子的
樸實無華的","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1064,estrange,"使疏遠
使不和
使離間","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1065,tribute,"貢品
頌詞
表示敬意
效忠","0.0
0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03
2024-08-03"
1066,denounce,"譴責
告發
指責","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1067,disprove,"反駁
證明…為假
駁倒","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1068,morph,"形態
變形
使變形
轉變","0.0
0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03
2024-08-03"
1069,metamorphose,"使變形
使蛻變
變形
蛻變","0.0
0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03
2024-08-03"
1070,assess,"評估
估價
徵收","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1071,capacious,"寬敞的
容量大的
容積大的","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1072,captivate,"迷住
使著迷
吸引","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1073,ravenous,"極其飢餓的
貪婪的
渴望的","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1074,contemptuous,"輕蔑的
鄙視的
不屑一顧的","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1075,appraise,"評估
鑑定
估價","0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03"
1076,incumbent,"現任的
在職的
義不容辭的
現任者
在職者","0.0
0.0
0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03
2024-08-03
2024-08-03"
1077,tonic,"補品
滋補的
增強體質的
主音
基調","0.0
0.0
0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03
2024-08-03
2024-08-03"
1078,admonish,"告誡
勸告
訓誡
責備","0.0
0.0
0.0
0.0","2024-08-03
2024-08-03
2024-08-03
2024-08-03"
